dpl,nperi,ci,nce,category
251,6,90,4,4
251,6,100,7,4
251,6,125,5,4
251,6,150,6,4
251,6,200,7,4
251,6,250,4,4
251,6,270,6,4
251,6,300,4,4
251,5,8,11,1
251,5,9,14,2
251,5,10,13,1
251,5,11,9,2
251,5,12,8,1
251,5,13,8,1
251,5,14,11,3
251,5,15,6,1
251,5,16,8,2
251,5,17,10,2
251,5,18,12,3
251,5,19,13,3
251,5,20,8,2
251,5,21,5,2
251,5,22,7,2
251,5,23,6,2
251,5,24,6,2
251,5,25,6,2
251,5,26,6,2
251,5,27,6,2
251,5,28,11,3
251,5,29,9,3
251,5,30,6,2
251,5,31,6,2
251,5,32,14,4
251,5,33,5,2
251,5,34,6,3
251,5,35,8,3
251,5,36,8,3
251,5,37,6,3
251,5,38,6,3
251,5,39,4,2
251,5,40,6,3
251,5,41,7,3
251,5,42,6,3
251,5,43,4,2
251,5,44,5,2
251,5,45,3,2
251,5,46,2,1
251,5,47,5,3
251,5,48,3,3
251,5,49,4,3
251,5,50,4,3
251,5,51,6,3
251,5,52,4,3
251,5,53,4,3
251,5,54,6,3
251,5,55,6,4
251,5,56,6,4
251,5,57,5,4
251,5,58,6,4
251,5,59,9,4
251,5,60,4,4
251,5,61,4,4
251,5,62,8,4
251,5,63,4,4
251,5,64,4,4
251,5,65,8,4
251,5,66,9,4
251,5,67,6,4
251,5,68,4,4
251,5,69,4,4
251,5,70,4,4
251,5,10,36,1
251,5,15,13,1
251,5,20,9,2
251,5,25,11,2
251,5,30,12,2
251,5,35,5,3
251,5,40,9,3
251,5,45,5,2
251,5,50,8,3
251,5,55,14,4
251,5,60,8,4
251,5,70,11,4
251,6,10,17,2
251,6,15,10,2
251,6,20,8,4
251,6,25,14,3
251,6,30,8,4
251,6,35,6,4
251,6,40,6,4
251,6,45,3,2
251,6,50,8,4
251,6,55,9,4
251,6,60,6,4
251,6,70,12,4
251,6,10,14,2
251,6,15,9,2
251,6,20,7,4
251,6,25,8,3
251,6,30,6,4
251,6,35,12,4
251,6,40,6,4
251,6,45,9,2
251,6,50,6,4
251,6,55,5,4
251,6,60,3,4
251,6,70,7,4
251,5,10,8,1
251,5,15,9,1
251,5,25,6,2
251,5,30,4,2
251,5,35,10,3
251,5,40,6,3
251,5,45,6,2
251,5,50,6,3
251,5,55,4,4
251,5,60,4,4
251,5,70,5,4
251,6,8,26,2
251,6,9,20,2
251,6,10,14,2
251,6,11,17,2
251,6,12,14,2
251,6,13,16,2
251,6,14,15,2
251,6,15,10,2
251,6,16,9,2
251,6,17,14,3
251,6,18,17,3
251,6,19,16,3
251,6,20,17,4
251,6,21,12,4
251,6,22,9,3
251,6,23,7,3
251,6,24,9,3
251,6,25,11,3
251,6,26,12,3
251,6,27,10,3
251,6,28,16,4
251,6,29,9,4
251,6,30,9,4
251,6,31,11,4
251,6,32,12,4
251,6,33,6,4
251,6,34,16,4
251,6,35,9,4
251,6,36,8,4
251,6,37,6,3
251,6,38,18,4
251,6,39,12,4
251,6,40,9,4
251,6,41,8,4
251,6,42,6,4
251,6,43,7,3
251,6,44,6,3
251,6,45,3,2
251,6,46,3,1
251,6,47,7,3
251,6,48,7,4
251,6,49,8,4
251,6,50,9,4
251,6,51,11,4
251,6,52,6,4
251,6,53,8,4
251,6,54,8,4
251,6,55,9,4
251,6,56,5,4
251,6,57,6,4
251,6,58,10,4
251,6,59,9,4
251,6,60,12,4
251,6,61,5,4
251,6,62,15,4
251,6,63,11,4
251,6,64,8,4
251,6,65,6,4
251,6,66,8,4
251,6,67,12,4
251,6,68,8,4
251,6,69,5,4
251,6,70,6,4
251,6,8,17,2
251,6,9,12,2
251,6,10,10,2
251,6,11,13,2
251,6,12,8,2
251,6,13,8,2
251,6,14,12,2
251,6,15,6,2
251,6,16,6,2
251,6,17,16,3
251,6,18,10,3
251,6,19,10,3
251,6,20,6,4
251,6,21,9,4
251,6,22,6,3
251,6,23,4,3
251,6,24,8,3
251,6,25,8,3
251,6,26,7,3
251,6,27,6,3
251,6,28,6,4
251,6,29,8,4
251,6,30,8,4
251,6,31,10,4
251,6,32,10,4
251,6,33,18,4
251,6,34,14,4
251,6,35,4,4
251,6,36,10,4
251,6,37,6,3
251,6,38,11,4
251,6,39,6,4
251,6,40,5,4
251,6,41,9,4
251,6,42,6,4
251,6,43,4,3
251,6,44,4,3
251,6,45,2,2
251,6,46,2,1
251,6,47,4,3
251,6,48,4,4
251,6,49,4,4
251,6,50,6,4
251,6,51,4,4
251,6,52,6,4
251,6,53,6,4
251,6,54,6,4
251,6,55,6,4
251,6,56,6,4
251,6,57,6,4
251,6,58,8,4
251,6,59,6,4
251,6,60,6,4
251,6,61,4,4
251,6,62,4,4
251,6,63,6,4
251,6,64,6,4
251,6,65,6,4
251,6,66,2,4
251,6,67,4,4
251,6,68,6,4
251,6,69,11,4
251,6,70,6,4
251,5,8,21,1
251,5,9,17,2
251,5,10,16,1
251,5,11,23,2
251,5,12,16,1
251,5,13,22,1
251,5,14,20,3
251,5,15,10,1
251,5,16,14,2
251,5,17,18,2
251,5,18,19,3
251,5,19,21,3
251,5,20,9,2
251,5,21,14,2
251,5,22,7,2
251,5,23,12,2
251,5,24,13,2
251,5,25,25,2
251,5,26,8,2
251,5,27,8,2
251,5,28,16,3
251,5,29,12,3
251,5,30,9,2
251,5,31,9,2
251,5,32,9,4
251,5,33,10,2
251,5,34,8,3
251,5,35,7,3
251,5,36,17,3
251,5,37,8,3
251,5,38,12,3
251,5,39,10,2
251,5,40,8,3
251,5,41,9,3
251,5,42,10,3
251,5,43,12,2
251,5,44,9,2
251,5,45,3,2
251,5,47,7,3
251,5,48,6,3
251,5,49,6,3
251,5,50,5,3
251,5,51,6,3
251,5,52,6,3
251,5,53,7,3
251,5,54,8,3
251,5,55,11,4
251,5,56,10,4
251,5,57,8,4
251,5,58,14,4
251,5,59,9,4
251,5,60,6,4
251,5,61,6,4
251,5,62,12,4
251,5,63,9,4
251,5,64,8,4
251,5,65,15,4
251,5,66,11,4
251,5,67,13,4
251,5,68,8,4
251,5,69,9,4
251,5,70,6,4
251,6,8,22,2
251,6,9,21,2
251,6,10,18,2
251,6,11,18,2
251,6,12,11,2
251,6,13,13,2
251,6,14,15,2
251,6,15,9,2
251,6,16,9,2
251,6,17,11,3
251,6,18,15,3
251,6,19,14,3
251,6,20,12,4
251,6,21,9,4
251,6,22,8,3
251,6,23,6,3
251,6,24,12,3
251,6,25,10,3
251,6,26,9,3
251,6,27,10,3
251,6,28,9,4
251,6,29,11,4
251,6,30,11,4
251,6,31,11,4
251,6,32,11,4
251,6,33,10,4
251,6,34,10,4
251,6,35,11,4
251,6,36,9,4
251,6,37,6,3
251,6,38,11,4
251,6,39,9,4
251,6,40,9,4
251,6,41,6,4
251,6,42,11,4
251,6,43,4,3
251,6,44,6,3
251,6,45,3,2
251,6,46,3,1
251,6,47,5,3
251,6,48,8,4
251,6,49,7,4
251,6,50,6,4
251,6,51,6,4
251,6,52,11,4
251,6,53,6,4
251,6,54,6,4
251,6,55,6,4
251,6,56,9,4
251,6,57,6,4
251,6,58,6,4
251,6,59,9,4
251,6,60,6,4
251,6,61,12,4
251,6,62,11,4
251,6,63,11,4
251,6,64,12,4
251,6,65,6,4
251,6,66,12,4
251,6,67,12,4
251,6,68,6,4
251,6,69,9,4
251,6,70,6,4
128,6,8,16,2
128,6,9,18,2
128,6,10,14,2
128,6,11,13,2
128,6,12,11,2
128,6,13,12,2
128,6,14,12,2
128,6,15,8,2
128,6,16,8,2
128,6,17,10,3
128,6,18,15,3
128,6,19,16,3
128,6,20,7,4
128,6,21,11,4
128,6,22,9,3
128,6,23,6,3
128,6,24,9,3
128,6,25,11,3
128,6,26,9,3
128,6,27,9,3
128,6,28,12,4
128,6,29,12,4
128,6,30,10,4
128,6,31,11,4
128,6,32,10,4
128,6,33,11,4
128,6,34,12,4
128,6,35,5,4
128,6,36,6,4
128,6,37,8,3
128,6,38,7,4
128,6,39,12,4
128,6,40,9,4
128,6,41,6,4
128,6,42,7,4
128,6,43,7,3
128,6,44,6,3
128,6,45,3,2
128,6,46,3,1
128,6,47,5,3
128,6,48,5,4
128,6,49,9,4
128,6,50,6,4
128,6,51,9,4
128,6,52,9,4
128,6,53,12,4
128,6,54,7,4
128,6,55,8,4
128,6,56,6,4
128,6,57,6,4
128,6,58,6,4
128,6,59,6,4
128,6,60,4,4
128,6,61,6,4
128,6,62,6,4
128,6,63,11,4
128,6,64,6,4
128,6,65,9,4
128,6,66,9,4
128,6,67,9,4
128,6,68,9,4
128,6,69,7,4
128,6,70,6,4
27,6,8,17,2
27,6,9,23,2
27,6,10,15,2
27,6,11,13,2
27,6,12,12,2
27,6,13,14,2
27,6,14,15,2
27,6,15,9,2
27,6,16,11,2
27,6,17,11,3
27,6,18,17,3
27,6,19,15,3
27,6,20,15,4
27,6,21,17,4
27,6,22,9,3
27,6,23,6,3
27,6,24,9,3
27,6,25,16,3
27,6,26,12,3
27,6,27,11,3
27,6,28,13,4
27,6,29,17,4
27,6,30,12,4
27,6,31,9,4
27,6,32,9,4
27,6,33,12,4
27,6,34,6,4
27,6,35,15,4
27,6,36,11,4
27,6,37,9,3
27,6,38,9,4
27,6,39,12,4
27,6,40,9,4
27,6,41,6,4
27,6,42,7,4
27,6,43,8,3
27,6,44,6,3
27,6,45,3,2
27,6,46,3,1
27,6,47,6,3
27,6,48,7,4
27,6,49,9,4
27,6,50,9,4
27,6,51,9,4
27,6,52,7,4
27,6,53,10,4
27,6,54,9,4
27,6,55,6,4
27,6,56,10,4
27,6,57,18,4
27,6,58,17,4
27,6,59,7,4
27,6,60,9,4
27,6,61,6,4
27,6,62,9,4
27,6,63,12,4
27,6,64,13,4
27,6,65,9,4
27,6,66,9,4
27,6,67,8,4
27,6,68,5,4
27,6,69,8,4
27,6,70,9,4
64,6,8,11,2
64,6,9,15,2
64,6,10,10,2
64,6,11,9,2
64,6,12,10,2
64,6,13,13,2
64,6,14,11,2
64,6,15,7,2
64,6,16,7,2
64,6,17,9,3
64,6,18,8,3
64,6,19,12,3
64,6,20,20,4
64,6,21,10,4
64,6,22,6,3
64,6,23,4,3
64,6,24,8,3
64,6,25,10,3
64,6,26,9,3
64,6,27,6,3
64,6,28,8,4
64,6,29,10,4
64,6,30,7,4
64,6,31,6,4
64,6,32,13,4
64,6,33,6,4
64,6,34,8,4
64,6,35,9,4
64,6,36,6,4
64,6,37,6,3
64,6,38,8,4
64,6,39,8,4
64,6,40,4,4
64,6,41,5,4
64,6,42,8,4
64,6,43,4,3
64,6,44,4,3
64,6,45,2,2
64,6,46,2,1
64,6,47,4,3
64,6,48,5,4
64,6,49,6,4
64,6,50,4,4
64,6,51,9,4
64,6,52,6,4
64,6,53,4,4
64,6,54,4,4
64,6,55,4,4
64,6,56,6,4
64,6,57,6,4
64,6,58,6,4
64,6,59,7,4
64,6,60,6,4
64,6,61,4,4
64,6,62,6,4
64,6,63,4,4
64,6,64,5,4
64,6,65,8,4
64,6,66,8,4
64,6,67,6,4
64,6,68,9,4
64,6,69,5,4
64,6,70,6,4
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,8,9,1
251,5,46,9,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,15,2,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,5,1
251,5,15,4,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,6,1
251,5,15,5,1
251,5,15,6,1
251,5,15,6,1
251,5,15,5,1
251,5,15,6,1
251,5,15,6,1
251,5,46,6,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,15,2,1
251,5,15,4,1
251,5,15,4,1
251,5,15,4,1
251,5,15,4,1
251,5,15,4,1
251,5,15,4,1
251,5,15,5,1
251,5,15,6,1
251,5,15,5,1
251,5,15,5,1
251,5,15,6,1
251,5,15,6,1
251,5,15,5,1
251,5,15,6,1
251,5,15,6,1
251,5,15,5,1
251,5,15,6,1
251,5,15,6,1
251,5,15,5,1
251,5,46,6,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
251,5,46,2,1
