dpl,nperi,ci,pow,latency,nce,noise,category
27,1,50,260.9330516,104,2,0,3
27,1,55,199.6471301,113,2,0,2
27,1,60,234.4365893,121,2,0,3
27,1,70,252.5020999,140,2,0,4
27,1,90,136.1033517,193,3,0,2
27,1,100,203.9904,195,2,0,2
27,1,125,140.9855732,243,2,0,3
27,1,150,148.9587591,291,2,0,4
27,1,200,165.8058117,289,2,0,4
27,1,250,154.3481481,494,2,0,4
27,1,270,125.6013686,527,2,0,4
27,1,300,148.3803521,597,2,0,4
27,1,10,416.6968508,31,3,0,1
27,1,15,523.6057545,37,3,0,1
27,1,20,393.9429572,57,3,0,2
27,1,30,317.9678504,65,2,0,4
27,1,35,320.0377861,74,2,0,3
27,1,40,241.3665768,57,2,0,3
27,1,45,314.0573175,97,3,0,2
27,1,50,260.9330516,88,2,0,3
27,1,55,199.6471301,135,3,0,2
27,1,60,234.4365893,122,2,0,3
27,1,70,252.5020999,193,3,0,4
27,1,90,136.1033517,186,2,0,2
27,1,100,203.9904,306,3,0,2
27,1,125,140.9855732,245,2,0,3
27,1,150,148.9587591,295,2,0,4
27,1,200,165.8058117,292,2,0,4
27,1,250,154.3481481,435,2,0,4
27,1,270,125.6013686,527,2,0,4
27,1,300,148.3803521,587,2,0,4
64,1,10,392.1905394,24,2,0,1
64,1,15,513.4038392,31,2,0,1
64,1,20,380.6998959,31,2,0,2
64,1,30,253.2457428,60,2,0,4
64,1,35,285.777416,70,2,0,3
64,1,40,248.1823283,89,3,0,3
64,1,45,208.8594751,94,2,0,2
64,1,50,239.0441185,83,2,0,3
64,1,55,208.8464702,114,2,0,2
64,1,60,193.6436534,109,2,0,3
64,1,70,174.2966808,180,3,0,4
64,1,90,191.010216,187,3,0,2
64,1,100,149.1677232,184,2,0,2
64,1,125,168.2734727,232,2,0,3
64,1,150,181.9192243,290,2,0,4
64,1,200,141.5086481,282,2,0,4
64,1,250,99.54517932,487,2,0,4
64,1,270,109.2042659,525,2,0,4
64,1,300,145.803178,577,2,0,4
128,1,10,417.9167276,34,3,0,1
128,1,15,504.8602514,34,2,0,1
128,1,20,354.2536099,32,2,0,2
128,1,30,275.6630263,62,2,0,4
128,1,35,254.8947997,70,2,0,3
128,1,40,262.6119216,81,2,0,3
128,1,45,222.8171494,113,3,0,2
128,1,50,199.3818369,148,3,0,3
128,1,55,179.9401079,151,3,0,2
128,1,60,162.4164861,111,2,0,3
128,1,70,239.4529958,136,2,0,4
128,1,90,144.4271924,239,3,0,2
128,1,100,166.2068597,195,2,0,2
128,1,125,131.925043,255,2,0,3
128,1,150,108.5001675,295,2,0,4
128,1,200,98.43199828,276,2,0,4
128,1,250,86.79453107,642,3,0,4
128,1,270,110.3949631,525,2,0,4
128,1,300,91.14913658,586,2,0,4
251,1,10,382.7435237,35,3,0,1
251,1,15,465.2878037,35,2,0,1
251,1,20,386.9320955,60,3,0,2
251,1,30,252.6148505,61,2,0,4
251,1,35,262.8499649,70,2,0,3
251,1,40,268.2009594,127,4,0,3
251,1,45,216.0923923,134,3,0,2
251,1,50,201.4199048,140,3,0,3
251,1,55,177.2270982,109,2,0,2
251,1,60,187.3311879,116,2,0,3
251,1,70,122.438063,134,2,0,4
251,1,90,123.3253865,180,2,0,2
251,1,100,155.7168005,192,2,0,2
251,1,125,111.8039537,245,2,0,3
251,1,150,109.8148147,286,2,0,4
251,1,200,137.6253326,285,2,0,4
251,1,250,89.6517704,440,2,0,4
251,1,270,116.3445288,522,2,0,4
251,1,300,86.04303321,579,2,0,4
27,2,10,366.4204668,44,4,0,1
27,2,15,452.3654958,45,3,0,1
27,2,20,321.2071962,43,2,0,2
27,2,30,391.2635016,66,2,0,4
27,2,35,228.3559851,146,4,0,3
27,2,40,219.1869981,110,3,0,3
27,2,45,290.6432424,95,2,0,2
